Version="1.0"
cirKey,startRecNo,endRecNo,binSize,count,min,max,mean,rms,sum,sumSqs,integral
voltage:vio_1v8:dev,0,9999,10000,10000,-5.0,0.0,-1.3965,1.8478906894077907,-13965.0,34147.0,-0.13962500000000125
voltage:3.3v:dev,0,9999,10000,10000,3.0,10.0,6.795,6.973019432068148,67950.0,486230.0,0.6794450000000085
power:3.3v:dev,0,9999,10000,10000,-5.0,3.0,-0.4108,1.6060510577189009,-4108.0,25794.0,-0.041084999999999317
current:vio_1v8:dev,0,9999,10000,10000,-983.0,477.0,-195.274,351.65927515138856,-1952740.0,1.236642458E9,-19.525799999999983
power:tot:dev,0,9999,10000,10000,-5.0,4.0,-0.3673,1.6118002357612435,-3673.0,25979.0,-0.036734999999999254
current:3.3v:dev,0,9999,10000,10000,-577.0,481.0,-41.1309,280.8060976902033,-411309.0,7.88520645E8,-4.114745000000002
power:vio_1v8:dev,0,9999,10000,10000,-1.0,3.0,0.0435,0.2551470164434615,435.0,651.0,0.004349999999999917
voltage:vio_1v8:dev,10000,19999,10000,10000,-5.0,0.0,-1.3822,1.8390758548792925,-13822.0,33822.0,-0.1382050000000017
voltage:3.3v:dev,10000,19999,10000,10000,5.0,10.0,7.5918,7.766646638028538,75918.0,603208.0,0.7591200000000047
power:3.3v:dev,10000,19999,10000,10000,-5.0,3.0,-0.4645,1.8220592745572248,-4645.0,33199.0,-0.04644999999999856
current:vio_1v8:dev,10000,19999,10000,10000,-1159.0,490.0,-193.3318,351.18353976233,-1933318.0,1.233298786E9,-19.332410000000028
power:tot:dev,10000,19999,10000,10000,-5.0,4.0,-0.4207,1.8285786830213242,-4207.0,33437.0,-0.04206999999999887
current:3.3v:dev,10000,19999,10000,10000,-574.0,462.0,-41.3105,281.21334018854793,-413105.0,7.90809427E8,-4.131069999999999
power:vio_1v8:dev,10000,19999,10000,10000,-1.0,2.0,0.0438,0.2501999200639361,438.0,626.0,0.004379999999999911
voltage:vio_1v8:dev,20000,29999,10000,10000,-5.0,0.0,-1.4515,1.8907934842282486,-14515.0,35751.0,-0.14513500000000065
voltage:3.3v:dev,20000,29999,10000,10000,5.0,10.0,8.3244,8.463982514159632,83244.0,716390.0,0.8323549999999957
power:3.3v:dev,20000,29999,10000,10000,-5.0,4.0,-0.501,2.0096268310310745,-5010.0,40386.0,-0.05010999999999803
current:vio_1v8:dev,20000,29999,10000,10000,-950.0,497.0,-194.1927,350.50567227935124,-1941927.0,1.228542263E9,-19.418444999999995
power:tot:dev,20000,29999,10000,10000,-5.0,4.0,-0.4538,2.0096765908971523,-4538.0,40388.0,-0.04538999999999838
current:3.3v:dev,20000,29999,10000,10000,-575.0,458.0,-42.3006,281.1310135861926,-423006.0,7.90346468E8,-4.231730000000011
power:vio_1v8:dev,20000,29999,10000,10000,-1.0,2.0,0.0472,0.2672077843177478,472.0,714.0,0.0047199999999999005
voltage:vio_1v8:dev,30000,39999,10000,10000,-5.0,0.0,-1.4425,1.8850198937942273,-14425.0,35533.0,-0.14423000000000114
voltage:3.3v:dev,30000,39999,10000,10000,5.0,11.0,8.9745,9.063647168772624,89745.0,821497.0,0.8973599999999666
power:3.3v:dev,30000,39999,10000,10000,-5.0,4.0,-0.5015,2.166125573460597,-5015.0,46921.0,-0.050164999999997954
current:vio_1v8:dev,30000,39999,10000,10000,-933.0,527.0,-194.9289,351.71087941660267,-1949289.0,1.237005427E9,-19.491704999999993
power:tot:dev,30000,39999,10000,10000,-5.0,4.0,-0.4523,2.1688015123565365,-4523.0,47037.0,-0.04524499999999847
current:3.3v:dev,30000,39999,10000,10000,-564.0,458.0,-42.3892,281.2912796373183,-423892.0,7.9124784E8,-4.240970000000003
power:vio_1v8:dev,30000,39999,10000,10000,-1.0,2.0,0.0492,0.2683281572999748,492.0,720.0,0.00491999999999989
voltage:vio_1v8:dev,40000,49999,10000,10000,-5.0,0.0,-1.4383,1.8816747859287482,-14383.0,35407.0,-0.14382000000000064
voltage:3.3v:dev,40000,49999,10000,10000,5.0,13.0,9.4766,9.521785546839416,94766.0,906644.0,0.9475599999999392
power:3.3v:dev,40000,49999,10000,10000,-6.0,4.0,-0.4806,2.288711427856295,-4806.0,52382.0,-0.04801999999999863
current:vio_1v8:dev,40000,49999,10000,10000,-1060.0,487.0,-194.418,352.3268652827939,-1944180.0,1.2413422E9,-19.43640000000003
power:tot:dev,40000,49999,10000,10000,-6.0,5.0,-0.4321,2.289781648978784,-4321.0,52431.0,-0.0431699999999991
current:3.3v:dev,40000,49999,10000,10000,-557.0,449.0,-42.2899,281.5713836667355,-422899.0,7.92824441E8,-4.2245399999999735
power:vio_1v8:dev,40000,49999,10000,10000,-1.0,2.0,0.0485,0.27331300737432895,485.0,747.0,0.004849999999999895
voltage:vio_1v8:dev,50000,59999,10000,10000,-5.0,0.0,-1.3909,1.8478365728602733,-13909.0,34145.0,-0.13907000000000055
voltage:3.3v:dev,50000,59999,10000,10000,5.0,13.0,9.7538,9.77549998721293,97538.0,955604.0,0.9752799999999243
power:3.3v:dev,50000,59999,10000,10000,-5.0,4.0,-0.4468,2.3440563133167256,-4468.0,54946.0,-0.044679999999998575
current:vio_1v8:dev,50000,59999,10000,10000,-993.0,523.0,-194.0853,350.89110262302177,-1940853.0,1.231245659E9,-19.407959999999935
power:tot:dev,50000,59999,10000,10000,-5.0,4.0,-0.4033,2.3458687090287045,-4033.0,55031.0,-0.04032999999999909
current:3.3v:dev,50000,59999,10000,10000,-557.0,456.0,-41.9685,281.1523837707943,-419685.0,7.90466629E8,-4.19637499999999
power:vio_1v8:dev,50000,59999,10000,10000,-1.0,2.0,0.0435,0.2547547840571399,435.0,649.0,0.004349999999999914
voltage:vio_1v8:dev,60000,69999,10000,10000,-5.0,0.0,-1.4364,1.8784035775093701,-14364.0,35284.0,-0.1436400000000007
voltage:3.3v:dev,60000,69999,10000,10000,6.0,13.0,9.9387,9.949125589718928,99387.0,989851.0,0.9937699999999202
power:3.3v:dev,60000,69999,10000,10000,-6.0,4.0,-0.4351,2.397936613007108,-4351.0,57501.0,-0.04346999999999909
current:vio_1v8:dev,60000,69999,10000,10000,-960.0,520.0,-194.105,351.90638186881466,-1941050.0,1.238381016E9,-19.40607500000015
power:tot:dev,60000,69999,10000,10000,-6.0,5.0,-0.3939,2.398020016597026,-3939.0,57505.0,-0.03934999999999943
current:3.3v:dev,60000,69999,10000,10000,-544.0,449.0,-41.2252,281.79351766852267,-412252.0,7.94075866E8,-4.117875000000009
power:vio_1v8:dev,60000,69999,10000,10000,-1.0,2.0,0.0412,0.2545584412271571,412.0,648.0,0.004119999999999924
voltage:vio_1v8:dev,70000,79999,10000,10000,-6.0,0.0,-1.5538,1.9703299216121142,-15538.0,38822.0,-0.15535499999999927
voltage:3.3v:dev,70000,79999,10000,10000,6.0,14.0,10.0394,10.051785910971244,100394.0,1010384.0,1.0038349999999334
power:3.3v:dev,70000,79999,10000,10000,-6.0,4.0,-0.4392,2.42099153240981,-4392.0,58612.0,-0.04390499999999916
current:vio_1v8:dev,70000,79999,10000,10000,-946.0,505.0,-195.5289,352.96954896987927,-1955289.0,1.245875025E9,-19.5516499999999
power:tot:dev,70000,79999,10000,10000,-6.0,5.0,-0.3771,2.41749870734195,-3771.0,58443.0,-0.03769499999999945
