Version="2.0"
numberBins=-1
binSize=10000
cirKey,startRecNo,endRecNo,min,max
voltage:vio_1v8:tl,0,9999,-5.0,0.0
current:vio_1v8:tl,0,9999,-983.0,477.0
power:vio_1v8:tl,0,9999,-1.0,3.0
current:3.3v:tl,0,9999,-577.0,481.0
voltage:3.3v:tl,0,9999,3.0,10.0
power:tot:tl,0,9999,-5.0,4.0
power:3.3v:tl,0,9999,-5.0,3.0
voltage:vio_1v8:tl,10000,19999,-5.0,0.0
current:vio_1v8:tl,10000,19999,-1159.0,490.0
power:vio_1v8:tl,10000,19999,-1.0,2.0
current:3.3v:tl,10000,19999,-574.0,462.0
voltage:3.3v:tl,10000,19999,5.0,10.0
power:tot:tl,10000,19999,-5.0,4.0
power:3.3v:tl,10000,19999,-5.0,3.0
voltage:vio_1v8:tl,20000,29999,-5.0,0.0
current:vio_1v8:tl,20000,29999,-950.0,497.0
power:vio_1v8:tl,20000,29999,-1.0,2.0
current:3.3v:tl,20000,29999,-575.0,458.0
voltage:3.3v:tl,20000,29999,5.0,10.0
power:tot:tl,20000,29999,-5.0,4.0
power:3.3v:tl,20000,29999,-5.0,4.0
voltage:vio_1v8:tl,30000,39999,-5.0,0.0
current:vio_1v8:tl,30000,39999,-933.0,527.0
power:vio_1v8:tl,30000,39999,-1.0,2.0
current:3.3v:tl,30000,39999,-564.0,458.0
voltage:3.3v:tl,30000,39999,5.0,11.0
power:tot:tl,30000,39999,-5.0,4.0
power:3.3v:tl,30000,39999,-5.0,4.0
voltage:vio_1v8:tl,40000,49999,-5.0,0.0
current:vio_1v8:tl,40000,49999,-1060.0,487.0
power:vio_1v8:tl,40000,49999,-1.0,2.0
current:3.3v:tl,40000,49999,-557.0,449.0
voltage:3.3v:tl,40000,49999,5.0,13.0
power:tot:tl,40000,49999,-6.0,5.0
power:3.3v:tl,40000,49999,-6.0,4.0
voltage:vio_1v8:tl,50000,59999,-5.0,0.0
current:vio_1v8:tl,50000,59999,-993.0,523.0
power:vio_1v8:tl,50000,59999,-1.0,2.0
current:3.3v:tl,50000,59999,-557.0,456.0
voltage:3.3v:tl,50000,59999,5.0,13.0
power:tot:tl,50000,59999,-5.0,4.0
power:3.3v:tl,50000,59999,-5.0,4.0
voltage:vio_1v8:tl,60000,69999,-5.0,0.0
current:vio_1v8:tl,60000,69999,-960.0,520.0
power:vio_1v8:tl,60000,69999,-1.0,2.0
current:3.3v:tl,60000,69999,-544.0,449.0
voltage:3.3v:tl,60000,69999,6.0,13.0
power:tot:tl,60000,69999,-6.0,5.0
power:3.3v:tl,60000,69999,-6.0,4.0
voltage:vio_1v8:tl,70000,79999,-6.0,0.0
current:vio_1v8:tl,70000,79999,-946.0,505.0
power:vio_1v8:tl,70000,79999,-1.0,2.0
current:3.3v:tl,70000,79999,-547.0,455.0
voltage:3.3v:tl,70000,79999,6.0,14.0
power:tot:tl,70000,79999,-6.0,5.0
power:3.3v:tl,70000,79999,-6.0,4.0
voltage:vio_1v8:tl,80000,89999,-5.0,0.0
current:vio_1v8:tl,80000,89999,-937.0,476.0
power:vio_1v8:tl,80000,89999,-1.0,2.0
current:3.3v:tl,80000,89999,-544.0,481.0
voltage:3.3v:tl,80000,89999,7.0,15.0
power:tot:tl,80000,89999,-6.0,5.0
power:3.3v:tl,80000,89999,-6.0,4.0
voltage:vio_1v8:tl,90000,99999,-5.0,0.0
current:vio_1v8:tl,90000,99999,-974.0,523.0
power:vio_1v8:tl,90000,99999,-1.0,2.0
current:3.3v:tl,90000,99999,-541.0,450.0
voltage:3.3v:tl,90000,99999,8.0,15.0
power:tot:tl,90000,99999,-6.0,5.0
power:3.3v:tl,90000,99999,-6.0,4.0
voltage:vio_1v8:tl,100000,109999,-5.0,0.0
current:vio_1v8:tl,100000,109999,-966.0,482.0
power:vio_1v8:tl,100000,109999,-1.0,2.0
current:3.3v:tl,100000,109999,-538.0,451.0
voltage:3.3v:tl,100000,109999,8.0,15.0
power:tot:tl,100000,109999,-7.0,6.0
power:3.3v:tl,100000,109999,-7.0,5.0
voltage:vio_1v8:tl,110000,119999,-5.0,0.0
current:vio_1v8:tl,110000,119999,-962.0,497.0
power:vio_1v8:tl,110000,119999,-1.0,2.0
current:3.3v:tl,110000,119999,-544.0,476.0
voltage:3.3v:tl,110000,119999,9.0,15.0
power:tot:tl,110000,119999,-7.0,8.0
power:3.3v:tl,110000,119999,-7.0,6.0
voltage:vio_1v8:tl,120000,129999,-5.0,0.0
current:vio_1v8:tl,120000,129999,-944.0,566.0
power:vio_1v8:tl,120000,129999,-1.0,2.0
current:3.3v:tl,120000,129999,-584.0,462.0
voltage:3.3v:tl,120000,129999,10.0,15.0
power:tot:tl,120000,129999,-8.0,6.0
power:3.3v:tl,120000,129999,-8.0,6.0
voltage:vio_1v8:tl,130000,139999,-5.0,0.0
current:vio_1v8:tl,130000,139999,-955.0,487.0
power:vio_1v8:tl,130000,139999,-1.0,2.0
current:3.3v:tl,130000,139999,-574.0,422.0
voltage:3.3v:tl,130000,139999,10.0,17.0
power:tot:tl,130000,139999,-7.0,6.0
power:3.3v:tl,130000,139999,-8.0,6.0
voltage:vio_1v8:tl,140000,149999,-5.0,0.0
current:vio_1v8:tl,140000,149999,-969.0,470.0
power:vio_1v8:tl,140000,149999,-1.0,2.0
current:3.3v:tl,140000,149999,-564.0,479.0
voltage:3.3v:tl,140000,149999,10.0,18.0
power:tot:tl,140000,149999,-8.0,7.0
power:3.3v:tl,140000,149999,-8.0,6.0
voltage:vio_1v8:tl,150000,159999,-5.0,0.0
current:vio_1v8:tl,150000,159999,-981.0,467.0
power:vio_1v8:tl,150000,159999,-1.0,3.0
current:3.3v:tl,150000,159999,-575.0,442.0
voltage:3.3v:tl,150000,159999,11.0,18.0
power:tot:tl,150000,159999,-9.0,7.0
power:3.3v:tl,150000,159999,-9.0,6.0
voltage:vio_1v8:tl,160000,169999,-5.0,0.0
current:vio_1v8:tl,160000,169999,-950.0,487.0
power:vio_1v8:tl,160000,169999,-1.0,2.0
current:3.3v:tl,160000,169999,-561.0,462.0
voltage:3.3v:tl,160000,169999,11.0,20.0
power:tot:tl,160000,169999,-8.0,7.0
power:3.3v:tl,160000,169999,-8.0,6.0
voltage:vio_1v8:tl,170000,179999,-5.0,0.0
current:vio_1v8:tl,170000,179999,-905.0,530.0
power:vio_1v8:tl,170000,179999,-1.0,2.0
current:3.3v:tl,170000,179999,-567.0,462.0
voltage:3.3v:tl,170000,179999,13.0,20.0
power:tot:tl,170000,179999,-10.0,7.0
power:3.3v:tl,170000,179999,-10.0,6.0
voltage:vio_1v8:tl,180000,189999,-5.0,0.0
current:vio_1v8:tl,180000,189999,-940.0,500.0
power:vio_1v8:tl,180000,189999,-1.0,2.0
current:3.3v:tl,180000,189999,-564.0,499.0
voltage:3.3v:tl,180000,189999,13.0,20.0
power:tot:tl,180000,189999,-10.0,8.0
power:3.3v:tl,180000,189999,-10.0,7.0
voltage:vio_1v8:tl,190000,199999,-5.0,0.0
current:vio_1v8:tl,190000,199999,-1003.0,514.0
power:vio_1v8:tl,190000,199999,-1.0,2.0
current:3.3v:tl,190000,199999,-578.0,462.0
voltage:3.3v:tl,190000,199999,13.0,20.0
power:tot:tl,190000,199999,-11.0,7.0
power:3.3v:tl,190000,199999,-11.0,7.0
voltage:vio_1v8:tl,200000,209999,-5.0,0.0
current:vio_1v8:tl,200000,209999,-973.0,477.0
